date,company,headline,industry,news_type
2023-11-15,TechNova,raised $50 million in Series B funding,AI/ML,funding
2023-11-14,CloudForge,launched new cloud security platform,Cybersecurity,product
2023-11-13,DataSphere,appointed former Google VP as new CEO,Fintech,hire
2023-11-12,QuantumLeap,announced layoffs affecting 15% staff,IoT,layoff
2023-11-11,CyberShield,facing data privacy investigation,Cybersecurity,scandal
2023-11-10,AI Dynamics,partnered with Microsoft for AI tools,AI/ML,neutral
2023-11-09,ByteCraft,secured $30M in venture capital,SaaS,funding
2023-11-08,NexaTech,introduced quantum computing breakthrough,Biotech,product
2023-11-07,FutureSystems,hired 3 new executives to leadership,Clean Energy,hire
2023-11-06,DigitalPulse,restructuring after revenue shortfall,Fintech,layoff
